ARABICA RUIM,ARABICA BOM,CONILLON
574.0,417.0,398.0
590.0,431.0,400.0
589.0,427.0,399.0
588.0,427.0,396.0
590.0,432.0,397.0
595.0,433.0,397.0
590.0,431.0,400.0
597.0,433.0,401.0
586.0,424.0,395.0
589.0,425.0,397.0
598.0,431.0,404.0
592.0,431.0,401.0
593.0,429.0,400.0
592.0,428.0,403.0
591.0,426.0,401.0
590.0,428.0,400.0
588.0,426.0,400.0
628.0,449.0,406.0
625.0,449.0,406.0
660.0,465.0,412.0
668.0,472.0,419.0
666.0,472.0,418.0
678.0,478.0,422.0
675.0,479.0,423.0
670.0,473.0,429.0
673.0,477.0,430.0
670.0,473.0,428.0
661.0,465.0,420.0
650.0,455.0,414.0
660.0,463.0,417.0
658.0,470.0,432.0
658.0,468.0,424.0
659.0,465.0,432.0
656.0,461.0,423.0
648.0,457.0,422.0
650.0,459.0,424.0
651.0,460.0,425.0
648.0,455.0,420.0
639.0,449.0,413.0
636.0,447.0,412.0
635.0,447.0,411.0
637.0,447.0,412.0
633.0,446.0,416.0
660.0,485.0,432.0
661.0,490.0,431.0
651.0,479.0,422.0
645.0,475.0,419.0
632.0,470.0,415.0
637.0,471.0,414.0
650.0,479.0,420.0
650.0,479.0,420.0
651.0,479.0,418.0
651.0,480.0,431.0
660.0,488.0,433.0
664.0,488.0,434.0
662.0,487.0,430.0
655.0,485.0,424.0
653.0,484.0,421.0
651.0,498.0,420.0
655.0,493.0,419.0
663.0,503.0,422.0
680.0,514.0,424.0
686.0,518.0,426.0
685.0,517.0,426.0
685.0,519.0,425.0
683.0,518.0,425.0
692.0,523.0,427.0
688.0,527.0,431.0
728.0,553.0,442.0
739.0,567.0,436.0
733.0,561.0,433.0
724.0,553.0,431.0
723.0,564.0,431.0
718.0,559.0,429.0
717.0,558.0,428.0
711.0,555.0,423.0
718.0,555.0,422.0
743.0,569.0,431.0
744.0,576.0,434.0
745.0,571.0,436.0
745.0,570.0,434.0
740.0,568.0,433.0
744.0,572.0,433.0
760.0,584.0,436.0
758.0,585.0,437.0
783.0,599.0,449.0
780.0,600.0,449.0
780.0,600.0,451.0
778.0,600.0,449.0
777.0,599.0,449.0
775.0,598.0,451.0
770.0,594.0,450.0
770.0,594.0,449.0
793.0,610.0,454.0
788.0,611.0,452.0
783.0,608.0,453.0
770.0,604.0,450.0
777.0,603.0,450.0
773.0,598.0,449.0
